 County Name ,FIPS #, County # ,Public Health Region (11),Health Service Region (8),Metropolitan Statistical Area (MSA),Metropolitan Divisions (MD),Metro Area (82),NCHS Urban Rural Classification (2006),NCHS Urban Rural Classification (2013),Border 32 (La Paz Agreement),Border 15
 Hall ,191, 96 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Hamilton ,193, 97 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Hansford ,195, 98 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Hardeman ,197, 99 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Hardin ,199, 100 ,5,6/5S,Beaumont-Port Arthur,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
 Harris ,201, 101 ,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Central Metro,Large Central Metro,Non-Border,Non-Border
 Harrison ,203, 102 ,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Hartley ,205, 103 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Haskell ,207, 104 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Hays ,209, 105 ,7,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Hemphill ,211, 106 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Henderson ,213, 107 ,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Hidalgo ,215, 108 ,11,11,McAllen-Edinburgh-Mission,--,Metro,Medium Metro,Medium Metro,Border,Border
 Hill ,217, 109 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Hockley ,219, 110 ,1,1,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Hood ,221, 111 ,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Micropolitan,Large Fringe Metro,Non-Border,Non-Border
 Hopkins ,223, 112 ,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Houston ,225, 113 ,5,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
